"Adduct","CF_class","CF_class_score","CF_componentindex","CF_Dparent","CF_Dparent_score","CF_kingdom","CF_kingdom_score","CF_MFramework","CF_MFramework_score","CF_NrNodes","CF_subclass","CF_subclass_score","CF_superclass","CF_superclass_score","charge","cluster index","componentindex","Compound_Name","Compound_Source","Data_Collector","DefaultGroups","G1","G2","G3","G4","G5","G6","GNPSLibraryURL","GNPSLinkout_Cluster","GNPSLinkout_Network","INCHI","Instrument","Ion_Source","IonMode","Library_Class","MassDiff","MQScore","MZErrorPPM","name","number of spectra","parent mass","PI","precursor mass","RTConsensus","RTMean","selected","shared name","SharedPeaks","Smiles","SpectrumID","sum(precursor intensity)","UniqueFileSources"
,"Steroids and steroid derivatives","0.18977455716586147","3","Steroidal saponins","0.1355877616747182","Organic compounds","0.5507246376811594","Aliphatic heteropolycyclic compounds","0.26020243846330804","69.0","Steroidal glycosides","0.18494363929146532","Lipids and lipid-like molecules","0.32869795261099616","0","2206","3",,,,"G3","0.0","0.0","1.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2206&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"2206","1","1096.55",,"1096.55","0.0","1950.73","false","2206",,,,"271073.0","Qe04834.mzML"
,"Organooxygen compounds","0.4571428571428572","131","Phenolic glycosides","0.2857142857142857","Organic compounds","1.0","Aromatic heteromonocyclic compounds","0.5","2.0","Carbohydrates and carbohydrate conjugates","0.35714285714285715","Organic oxygen compounds","0.4571428571428572","0","1420","131",,,,"G1,G2,G3,G4,G5,G6","2.0","3.0","2.0","2.0","3.0","1.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1420&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=131&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1420","13","473.162",,"473.162","0.0","123.5503076923077","false","1420",,,,"5.40044E7","Qe04833.mzML|Qe04837.mzML|Qe04834.mzML|Qe04835.mzML|Qe04832.mzML|Qe04836.mzML"
,"no matches","0.0","S88","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","189","-1",,,,"G4","0.0","0.0","0.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=189&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"189","1","215.067",,"215.067","0.0","143.012","false","189",,,,"715187.0","Qe04835.mzML"
,"no matches","0.0","S604","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","1316","-1",,,,"G6","0.0","0.0","0.0","0.0","0.0","1.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1316&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1316","1","433.208",,"433.208","0.0","1601.13","false","1316",,,,"227559.0","Qe04837.mzML"
,"no matches","0.0","S471","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","1067","-1",,,,"G5","0.0","0.0","0.0","0.0","3.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1067&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1067","3","375.293",,"375.293","0.0","3234.81","false","1067",,,,"7091270.0","Qe04836.mzML"
,"Cinnamic acids and derivatives","0.25","469","Coumaric acid esters","0.25","Organic compounds","1.0","Aromatic heteropolycyclic compounds","0.5625","2.0","Hydroxycinnamic acids and derivatives","0.25","Organoheterocyclic compounds","0.5","0","904","469",,,,"G3","0.0","0.0","1.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=904&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=469&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"904","1","347.12",,"347.12","0.0","115.193","false","904",,,,"1384370.0","Qe04834.mzML"
,"no matches","0.0","S600","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","1312","-1",,,,"G3","0.0","0.0","1.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1312&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1312","1","433.207",,"433.207","0.0","1243.89","false","1312",,,,"353905.0","Qe04834.mzML"
,"Organooxygen compounds","0.27777777777777773","64","Glucuronic acid derivatives","0.13333333333333333","Organic compounds","0.6666666666666666","Aliphatic acyclic compounds","0.24444444444444446","3.0","Carbohydrates and carbohydrate conjugates","0.16666666666666666","Organic oxygen compounds","0.27777777777777773","0","148","64",,,,"G1,G2,G3,G4,G5","1.0","26.0","29.0","43.0","2.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=148&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=64&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"148","101","207.051",,"207.051","0.0","526.8099405940594","false","148",,,,"1.66111E8","Qe04836.mzML|Qe04834.mzML|Qe04833.mzML|Qe04835.mzML|Qe04832.mzML"
,"Coumarins and derivatives","0.06854838709677419","70","Coumarins and derivatives","0.06854838709677419","Organic compounds","0.3548387096774194","Aromatic heteropolycyclic compounds","0.1696236559139785","31.0","nan","0.07392473118279569","Phenylpropanoids and polyketides","0.1","0","1693","70",,,,"G4","0.0","0.0","0.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1693&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=70&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1693","1","576.936",,"576.936","0.0","99.7176","false","1693",,,,"194492.0","Qe04835.mzML"
,"Lignan glycosides","0.41666666666666663","337","Lignan glycosides","0.41666666666666663","Organic compounds","1.0","Aromatic heteropolycyclic compounds","0.75","2.0","nan","0.6666666666666666","Lignans, neolignans and related compounds","0.41666666666666663","0","1621","337",,,,"G3","0.0","0.0","1.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1621&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=337&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1621","1","551.213",,"551.213","0.0","1714.66","false","1621",,,,"310353.0","Qe04834.mzML"
,"no matches","0.0","S308","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","734","-1",,,,"G2,G6","0.0","2.0","0.0","0.0","0.0","1.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=734&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"734","3","309.207",,"309.207","0.0","3263.31","false","734",,,,"5932320.0","Qe04833.mzML|Qe04837.mzML"
,"Coumarins and derivatives","0.1392857142857143","61","Coumarins and derivatives","0.1392857142857143","Organic compounds","0.6","Aromatic heteropolycyclic compounds","0.5777777777777777","5.0","nan","0.4170634920634921","Phenylpropanoids and polyketides","0.32261904761904764","0","1203","61",,,,"G1,G6","1.0","0.0","0.0","0.0","0.0","1.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1203&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=61&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1203","2","403.062",,"403.062","0.0","92.5386","false","1203",,,,"4545880.0","Qe04837.mzML|Qe04832.mzML"
,"no matches","0.0","S483","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","1079","-1",,,,"G2","0.0","1.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1079&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1079","1","375.293",,"375.293","0.0","3204.7","false","1079",,,,"1462210.0","Qe04833.mzML"
,"Fatty Acyls","0.2876984126984127","314","Medium-chain hydroxy acids and derivatives","0.20634920634920634","Organic compounds","1.0","Aliphatic acyclic compounds","0.613095238095238","4.0","nan","0.251984126984127","Organic acids and derivatives","0.35317460317460314","0","122","314",,,,"G2,G3,G4,G5,G6","0.0","2.0","5.0","4.0","2.0","3.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=122&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=314&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"122","16","201.113",,"201.113","0.0","2360.841875","false","122",,,,"9001380.0","Qe04836.mzML|Qe04833.mzML|Qe04835.mzML|Qe04837.mzML|Qe04834.mzML"
,"Organooxygen compounds","0.10213549337260677","32","Phenolic glycosides","0.03813205694648994","Organic compounds","0.7422680412371134","Aromatic heteropolycyclic compounds","0.45482736049746375","97.0","nan","0.10832924234986087","Organoheterocyclic compounds","0.19303305514645713","0","1286","32",,,,"G1,G2,G3,G4,G5,G6","2.0","2.0","2.0","2.0","2.0","2.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1286&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=32&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1286","12","424.988",,"424.988","0.0","102.11509166666667","false","1286",,,,"2.28065E7","Qe04833.mzML|Qe04837.mzML|Qe04834.mzML|Qe04835.mzML|Qe04832.mzML|Qe04836.mzML"
,"no matches","0.0","S470","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","1066","-1",,,,"G4","0.0","0.0","0.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1066&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1066","1","375.293",,"375.293","0.0","3277.36","false","1066",,,,"2995710.0","Qe04835.mzML"
,"no matches","0.0","S612","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","1333","-1",,,,"G1","1.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1333&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1333","1","442.156",,"442.156","0.0","1243.79","false","1333",,,,"581924.0","Qe04832.mzML"
,"Coumarins and derivatives","0.06854838709677419","70","Coumarins and derivatives","0.06854838709677419","Organic compounds","0.3548387096774194","Aromatic heteropolycyclic compounds","0.1696236559139785","31.0","nan","0.07392473118279569","Phenylpropanoids and polyketides","0.1","0","946","70",,,,"G1,G4,G6","1.0","0.0","0.0","1.0","0.0","1.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=946&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=70&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"946","3","356.92",,"356.92","0.0","94.88123333333333","false","946",,,,"2476450.0","Qe04835.mzML|Qe04837.mzML|Qe04832.mzML"
,"Benzene and substituted derivatives","0.29259259259259257","451","Resorcinols","0.07407407407407407","Organic compounds","1.0","Aromatic heteropolycyclic compounds","0.37407407407407406","3.0","nan","0.1962962962962963","Benzenoids","0.4703703703703703","0","610","451",,,,"G3","0.0","0.0","1.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=610&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=451&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"610","1","288.086",,"288.086","0.0","91.2373","false","610",,,,"6331610.0","Qe04834.mzML"
,"Miscellaneous mixed metal/non-metals","0.25","266","Miscellaneous mixed metal/non-metals","0.25","Organic compounds","0.25","nan","0.25","4.0","nan","0.34375","Mixed metal/non-metal compounds","0.25","0","495","266",,,,"G1","35.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=495&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=266&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"495","35","259.816",,"259.816","0.0","1342.8474285714285","false","495",,,,"9225610.0","Qe04832.mzML"
,"no matches","0.0","S626","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","1385","-1",,,,"G3","0.0","0.0","5.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1385&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1385","5","459.224",,"459.224","0.0","1588.934","false","1385",,,,"1837640.0","Qe04834.mzML"
"[M-H]-","Organooxygen compounds","0.2103505291005291","19","O-glycosyl compounds","0.10297619047619049","Organic compounds","1.0","Aliphatic heteromonocyclic compounds","0.26484788359788364","12.0","nan","0.292691798941799","Lipids and lipid-like molecules","0.3611772486772487","0","1557","19","(2R,3R,4S,5S,6R)-2-[[7-hydroxy-1-(4-hydroxy-3-methoxyphenyl)-3-(hydroxymethyl)-6-methoxy-1,2,3,4-tetrahydronaphthalen-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","isolated","MoNA:VF-NPL-QEHF021550","G5","0.0","0.0","0.0","0.0","2.0","0.0","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00004712613","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1557&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=19&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true","InChI=1S/C26H34O11/c1-34-19-6-12(3-4-17(19)29)22-15-8-18(30)20(35-2)7-13(15)5-14(9-27)16(22)11-36-26-25(33)24(32)23(31)21(10-28)37-26/h3-4,6-8,14,16,21-33H,5,9-11H2,1-2H3/t14?,16?,21-,22?,23-,24+,25-,26-/m1/s1","ESI-QFT","N/A","negative","3","0.0009765619999999999","0.584129","1.8736700000000002","1557","2","521.202","MoNA","521.202","0.0","1799.6399999999999","false","1557","6","N/A","CCMSLIB00004712613","858115.0","Qe04836.mzML"
,"Organooxygen compounds","0.1856516290726817","45","Terpene glycosides","0.10526315789473684","Organic compounds","0.9473684210526315","Aromatic heteropolycyclic compounds","0.5462406015037594","19.0","nan","0.1759189640768588","Phenylpropanoids and polyketides","0.3170843776106934","0","1124","45",,,,"G2,G3,G4,G5,G6","0.0","3.0","2.0","4.0","3.0","2.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1124&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=45&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1124","14","383.119",,"383.119","0.0","192.13292857142858","false","1124",,,,"4.94759E7","Qe04836.mzML|Qe04833.mzML|Qe04835.mzML|Qe04837.mzML|Qe04834.mzML"
,"Carboxylic acids and derivatives","0.25510204081632654","51","Peptides","0.16326530612244897","Organic compounds","0.8571428571428571","Aromatic heteropolycyclic compounds","0.5187074829931972","7.0","Amino acids, peptides, and analogues","0.25510204081632654","Phenylpropanoids and polyketides","0.30272108843537415","0","1404","51",,,,"G3","0.0","0.0","2.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1404&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=51&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1404","2","468.144",,"468.144","0.0","1410.2649999999999","false","1404",,,,"1093550.0","Qe04834.mzML"
,"no matches","0.0","S285","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","690","-1",,,,"G5,G6","0.0","0.0","0.0","0.0","1.0","1.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=690&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"690","2","302.101",,"302.101","0.0","116.83449999999999","false","690",,,,"3652290.0","Qe04837.mzML|Qe04836.mzML"
